n_nodes,field_side,protocol,n_censored_runs,fnd_mean,fnd_std,hnd_mean,hnd_std,lnd_mean,lnd_std,throughput_total_mean,throughput_total_std,readings_attempted_total_mean,readings_attempted_total_std,readings_delivered_total_mean,readings_delivered_total_std,pdr_percent_mean,pdr_percent_std,reporting_rate_mean,reporting_rate_std,data_yield_mean,data_yield_std,mean_residual_energy_final_mean,mean_residual_energy_final_std,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,alive_node_auc_mean,alive_node_auc_std,total_control_packets_mean,total_control_packets_std,mean_setup_ms_mean,mean_setup_ms_std,total_runtime_s_mean,total_runtime_s_std,peak_memory_kb_mean,peak_memory_kb_std,ops_per_round_mean,ops_per_round_std
150,100.0,apteen,15,1992.4,88.8415925759358,4933.333333333333,187.49920634752667,6999.0,0.0,28343.8,731.3959451428676,94548.26666666666,1457.445488648187,85762.4,2298.931453647853,90.6986816159283,1.5020608177064736,0.1679674916649129,0.001275216687564651,0.1204986158888235,0.0017581322007325366,0.00045791941530271625,0.0003150833599448868,429.5520911973655,4.36014481173907,983.3333333333334,14.864467059144129,711668.4,12836.767666133313,771461.3333333334,14766.101645645129,1.0141378755334347,0.028640135003643537,23.668971614276025,0.6199916099983692,5505.0859375,,615.3638666666667,17.857749056687478
150,100.0,dqn,0,1537.1333333333334,30.189559847893175,1956.4666666666667,31.92819324373873,2436.733333333333,46.158835505654764,14544.466666666667,286.90736849240744,296299.2,2944.8517838036314,266506.93333333335,7221.51539762225,89.9367672954774,1.8808897037916803,1.0003268629697737,1.5857362996181715e-05,0.8996616600502897,0.018815980843250226,0.0,0.0,380.7707623302007,3.327938309682113,1016.6666666666666,31.95234546871921,296202.4,2945.791254363709,17681.6,195.7114494059339,0.6670093898327967,0.0065685965926132244,7.130992185715253,0.11159340695808041,2097.533203125,,18073.018262291633,301.9691657786862
150,100.0,fuzzy_t2,0,1469.7333333333333,33.26402317963415,2049.866666666667,26.741798920861875,2165.866666666667,43.34886168659807,14486.866666666667,300.0563915253899,294530.93333333335,3263.4200611073807,268948.0,6490.329773703997,91.30744409696989,1.6024754143850375,1.000386307970861,1.8311499404125382e-05,0.9134271713633919,0.016031163308610433,0.0,0.0,385.56136022940626,2.890822037463163,1190.0,37.18678720805473,294417.2,3262.3947207972415,14712.666666666666,293.32738089198625,7.157904007169074,0.24018109963629242,20.633086678563682,0.6990214279436261,1922.2890625,,4789.737977034331,71.58485148922443
150,100.0,gcn,0,304.6666666666667,132.744473474775,1880.6666666666667,72.36777762302252,3346.0,152.5619312185804,13223.466666666667,734.6607445098788,280704.2,5609.572688080363,250387.6,11244.406195336162,89.16790507368178,2.6726173320545286,1.0001800370617546,2.5499799136461267e-05,0.8918392740481446,0.02672012432285644,0.0,0.0,393.4633129574483,7.664140372544666,1107.3333333333333,117.51393027860064,280653.73333333334,5611.784010539997,17332.666666666668,497.1713798604873,1.3725667950566443,0.057305882101410424,9.967074678582971,0.23504029015131564,2572.376953125,,11379.680480278354,600.2206982541297
150,100.0,leach,0,1085.1333333333334,35.55250979018152,1669.6666666666667,17.726762119408473,2238.8,78.11091015802009,13667.2,433.9047295037406,250663.6,2659.2906626714257,219320.06666666668,6768.890903735017,87.48377429748456,2.0546711821767096,1.0003581414297646,2.6124444727394497e-05,0.8751508746745532,0.020545688986397807,0.0,0.0,331.7891507512197,7.202389194116133,885.5999999999985,9.861903612240745,250573.86666666667,2659.100945450405,260398.33333333334,2811.4935701932695,1.1029640108492533,0.04479707406337057,9.903640614286164,0.15773781477377083,1916.8515625,,731.28928071329,21.83751678577905
150,100.0,nsga2,0,1864.8666666666666,29.24005732519949,1991.6666666666667,20.749067678423756,2442.3333333333335,167.73860049266565,15061.4,373.2974302464075,306837.6,2622.4417139103666,274006.0,6995.044929907783,89.29199757572691,1.7600813667696487,1.0004095509991462,1.3346475747338257e-05,0.8932855430128644,0.017601052201791527,0.0,0.0,378.14063420376544,5.099225345894833,622.0,22.424476423255523,306712.0,2623.1347931162713,16815.466666666667,188.83018322089848,111.08637083434174,5.530228161064352,277.3207299428551,22.011263417940977,2201.2509765625,,227795.67065736584,12246.958781361305
150,100.0,pegasis,0,1517.0666666666666,391.8003257248458,2223.6,5.096217084409628,2611.3333333333335,370.9531481133946,2237.4666666666667,346.89703426370255,329315.4,973.881028228221,275698.93333333335,7788.577363831019,83.71814567901461,2.3282742847157523,1.0002253677882786,1.8839675697627062e-05,0.8373702476165108,0.023292520817364538,0.0,0.0,1615.0922907400336,237.4038531715725,2445.393333333333,27.687915534880197,329241.2,973.7807908207209,326867.86666666664,938.3559990496043,0.11288972095448366,0.010255160221020868,6.225513242850346,0.16249479435895442,2115.8359375,,180.22562032741618,21.853162712192518
150,100.0,som,0,994.4,118.40234071045337,1999.8666666666666,32.042085420509665,2981.4666666666667,131.9100703762479,14193.0,440.03847234401803,300228.26666666666,3529.1654510595536,267398.6666666667,8087.474483657399,89.05069493877596,1.8522937599366234,1.0003152165858706,1.8096349509481755e-05,0.8907876306965103,0.01852787001994469,0.0,0.0,390.6910407276621,3.8972099992394758,547.6666666666666,23.026899383939973,300133.6666666667,3528.6733376453994,16182.8,274.086847550188,54.213949643092256,3.9106808744124897,166.6845358357116,9.1279232007717,2308.7734375,,13904.335800666471,716.9096590243524
150,100.0,stub,0,111.0,6.740072064048828,1159.1333333333334,192.69067242109887,3238.133333333333,57.82222344228492,194698.6,13130.065345284027,200748.06666666668,13080.813290938027,194698.6,13130.065345284027,96.97408411574169,0.4955542254643287,1.000750687966282,4.813291757188454e-05,0.9704687206042611,0.004939856142916256,0.0,0.0,897.3624824999272,32.89035222432555,2217.0,51.823877563477296,200598.06666666668,13080.813290938027,0.0,0.0,0.0026172888450851335,0.00012930531245200613,2.300342300000401,0.17684357912736148,8793.5703125,,0.0,0.0
150,100.0,teen,15,2064.0666666666666,97.9055424278689,5117.666666666667,179.5942516844435,6999.0,0.0,28319.4,768.8417819774662,88508.6,1423.0613278622754,80267.4,2155.0538872944353,90.68002028833108,1.4576880084966748,0.15500010055219438,0.0013037870010821847,0.10916512716224722,0.001647361704090853,0.0009520216543441401,0.0004101949842476141,436.9721044256306,3.2008183116875655,994.0,10.690449676496975,735221.8666666667,13062.31090836023,797452.6666666666,14569.36726083025,1.052922377595678,0.030416948057866284,24.00058902857459,0.5324946575827879,5523.1484375,,635.8048761904762,18.204599999998937
