protocol,n_censored_runs,fnd_mean,fnd_std,hnd_mean,hnd_std,lnd_mean,lnd_std,throughput_total_mean,throughput_total_std,readings_attempted_total_mean,readings_attempted_total_std,readings_delivered_total_mean,readings_delivered_total_std,pdr_percent_mean,pdr_percent_std,reporting_rate_mean,reporting_rate_std,data_yield_mean,data_yield_std,mean_residual_energy_final_mean,mean_residual_energy_final_std,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,alive_node_auc_mean,alive_node_auc_std,total_control_packets_mean,total_control_packets_std,mean_setup_ms_mean,mean_setup_ms_std,total_runtime_s_mean,total_runtime_s_std,peak_memory_kb_mean,peak_memory_kb_std,ops_per_round_mean,ops_per_round_std
apteen,30,2144.233333333333,139.01046433776952,5366.666666666667,161.09460346134446,6999.0,0.0,21465.4,796.29047723675,68872.16666666667,1724.6329761137154,62579.23333333333,2985.4206505816796,90.82531353715689,2.6238669516268196,0.16754460184953313,0.0017689879966734327,0.12065830713149982,0.0036025417055868124,0.0033119940570067175,0.001048916768894137,407.08558765173944,7.480754200420149,978.6666666666666,23.302113761354924,518432.0,12329.624104234652,554262.9,14381.428669498107,0.8005386399219311,0.03031726339723284,17.123738155178405,0.6609884779501195,5207.53125,,296.4206523809524,12.059949717567852
dqn,0,1471.9333333333334,54.76654738655412,1920.1666666666667,30.65163924663324,2324.9333333333334,58.92481084681845,8962.1,302.4417128227725,192161.7,2468.5255846494615,173487.36666666667,7118.574191233238,90.2607752402941,2.933445286307355,1.0003333533789778,2.136305203740002e-05,0.9029086105695525,0.02934330536853139,0.0,0.0,401.60663282134453,4.302430364302423,918.5,37.97344807389355,192097.66666666666,2467.934754814841,11924.066666666668,201.18047024797266,0.5248109429264922,0.01538517656177451,5.129000565520857,0.15745092034468666,1786.095703125,,8209.991587743289,180.1128361298699
fuzzy_t2,0,1462.2333333333333,49.65097723338268,2006.1666666666667,27.580707066695197,2108.8,47.785728644323974,9064.166666666666,308.24431458060076,192000.83333333334,2996.258334280795,175438.16666666666,6529.308935726729,91.36130564598024,2.691694024316765,1.0003951092134369,2.3003213432872934e-05,0.9139740488139808,0.02692791419150083,0.0,0.0,401.4938408367044,5.185929101971477,1028.0,45.53134577712218,191925.03333333333,2997.1337167520496,9657.433333333332,218.7222586678859,5.141915167942545,0.14968742704728344,14.55265326896313,0.42041619075614106,1609.2744140625,,2301.440788306632,35.43827707338154
gcn,0,335.43333333333334,141.55239881116606,1823.6666666666667,70.13550103725734,3184.633333333333,142.22019918939526,8646.133333333333,391.1467431957521,180249.83333333334,4252.329350167841,162781.9,8115.50274793399,90.28390818786572,3.3389997273972125,1.000200786232469,3.2890021717338294e-05,0.9030200504622309,0.03338821631320219,0.0,0.0,391.54715924915666,7.012469135322617,981.3333333333334,69.37819061732104,180213.73333333334,4255.131846357414,12215.633333333333,354.13580906817066,0.8779610966104209,0.04211741192867872,6.581182448275724,0.29589005747963226,2366.501953125,,5454.328387820593,266.51561922163296
leach,0,1045.6,43.12499875062467,1679.4,24.504186834371655,2191.1,81.24010815116996,11044.466666666667,598.6562385493222,167197.76666666666,2694.627332474667,146615.7,7089.352361598099,87.65767053612845,3.213848758329305,1.0003943038362721,2.964039812628933e-05,0.876922059291573,0.032143134402291815,0.0,0.0,274.2799463549131,9.505253804215277,837.4666666666659,20.253111014043142,167131.9,2695.7505429203147,171643.9,2745.060847890387,0.816797909548963,0.045180696701221504,6.662549406902238,0.2263513870135821,1719.4921875,,329.2055749979517,13.630530528882732
nsga2,0,1872.9333333333334,30.744703309825503,1964.7333333333333,22.68363124450716,2697.266666666667,256.20088203209406,9654.066666666668,406.5387908991553,200698.33333333334,2114.034553159911,179860.36666666667,7114.663863838003,89.59576418038313,2.7957184683273066,1.0004123241800067,1.9827429983232205e-05,0.8963270079868183,0.027966703146125788,0.0,0.0,387.0524453680343,10.642237547406754,572.6666666666666,16.55363973589335,200615.63333333333,2114.9865000520213,10793.766666666666,168.91983067538962,102.89231168480727,8.284251126094016,280.86903200690546,28.01884984155025,2132.1728515625,,86347.80217549228,8800.778081427918
pegasis,0,1587.5666666666666,330.9252111917417,2199.2,9.053100059629031,2629.6666666666665,357.5307397763967,2271.6666666666665,389.0396073563128,216410.0,1419.710752473776,182179.2,8784.549914480536,84.1691560466206,3.729246718609846,1.0002389397738332,2.2582961080056452e-05,0.8418925494403714,0.03729875330379225,0.0,0.0,1045.363728326524,138.9454110706353,1626.3899999999999,16.325067460387604,216358.3,1418.8285393725102,213902.13333333333,1317.4876230088876,0.04853387277548602,0.005671003087222012,4.508790548280652,0.16706645557861258,1579.53125,,58.64211997175182,7.547649108147522
som,0,958.6,126.766034828762,1997.5,32.13092827361416,2874.266666666667,114.66170130922721,9395.133333333333,345.4158646330969,196865.56666666668,2797.774530405999,175822.5,7456.426007836786,89.2856498133825,2.872102646013324,1.000326261344044,2.5179742989450096e-05,0.8931473829767852,0.028717336753645444,0.0,0.0,387.98530768948154,7.141232962576689,538.0,20.61134605519243,196801.4,2799.8982937193296,10654.666666666666,170.58506490257608,38.275053157997284,1.9699813426234067,113.71212773103115,4.525698730284719,2020.2197265625,,6194.498774222475,283.5974372791391
stub,0,114.03333333333333,10.675409491728734,1143.8,183.3183400347697,3201.866666666667,78.15092971994609,128074.7,9343.460992624183,132095.13333333333,8773.734111395857,128074.7,9343.460992624183,96.9157079935241,0.9726891789028845,1.0007609748217614,5.267368252056598e-05,0.9698942541733531,0.009700779116999875,0.0,0.0,600.3330726268379,25.9371186952804,1487.6666666666667,49.4754089619684,131995.13333333333,8773.734111395857,0.0,0.0,0.0028342402947074017,0.00027758657068208874,1.7612633793133086,0.1662327481734351,6171.703125,,0.0,0.0
teen,30,2208.4666666666667,164.37965587130245,5601.333333333333,188.82747705764126,6999.0,0.0,21249.2,866.8905749663662,64433.46666666667,1695.6892146391913,58550.566666666666,2809.819440552319,90.83243195006754,2.5624865337189577,0.1545453010103532,0.0017369794403399646,0.10931437352403495,0.0033025251479764984,0.00645339494059923,0.0018098478125804778,418.84584001705366,5.8863542535650835,990.3666666666662,27.345154438480925,535397.9,12954.5673701701,573869.9333333333,14795.910914455582,0.8282382059291812,0.04699456053117817,17.308608799996176,0.8278397029618594,5222.2265625,,307.3869095238096,12.507512524997141
