n_nodes,field_side,protocol,n_censored_runs,fnd_mean,fnd_std,hnd_mean,hnd_std,lnd_mean,lnd_std,throughput_total_mean,throughput_total_std,readings_attempted_total_mean,readings_attempted_total_std,readings_delivered_total_mean,readings_delivered_total_std,pdr_percent_mean,pdr_percent_std,reporting_rate_mean,reporting_rate_std,data_yield_mean,data_yield_std,mean_residual_energy_final_mean,mean_residual_energy_final_std,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,alive_node_auc_mean,alive_node_auc_std,total_control_packets_mean,total_control_packets_std,mean_setup_ms_mean,mean_setup_ms_std,total_runtime_s_mean,total_runtime_s_std,peak_memory_kb_mean,peak_memory_kb_std,ops_per_round_mean,ops_per_round_std,density_per_ha
50,50.0,apteen,15,6831.166666666667,139.16101422017547,,,6999.0,0.0,17904.733333333334,255.6695598023429,46619.0,671.343535648585,46570.73333333333,735.1535764399034,99.8950195948495,0.3349856623953455,0.1674683882214669,0.0020438407380259,0.1331257609313299,0.0020858508390512,0.1047846656075437,0.0056108014122131,345.2316974948755,4.391168274379917,1014.0,0.0,349824.5333333333,167.84553556625752,357379.4,855.1946979656569,0.5261562480846639,0.0229467448037571,10.24667941428405,0.4534746021863593,5023.6953125,,116.24854285714284,0.1033208114924743,200.0
50,50.0,dqn,0,1499.8666666666666,117.0859676029703,2164.8,43.18597655985762,2973.8,129.0704126768464,5034.4,140.0106118427151,109740.6,427.9193515471945,109249.73333333334,584.6457372591013,99.5524154564897,0.2698188920597969,1.0002625757639343,3.141387737031456e-05,0.9957855756838072,0.0027072045620794,0.0,0.0,448.3997670535139,11.337296602747577,800.6666666666666,23.50278605572013,109711.8,429.8991908409625,7949.666666666667,230.3117969395485,0.3334834608833502,0.010078303269587,3.3055218642901827,0.1240530948616807,2249.470703125,,1783.3246372311928,93.82168426089608,200.0
50,50.0,fuzzy_t2,0,1655.8,60.19990507823556,2303.0,47.35730445996991,2570.266666666667,37.1049990214385,5006.6,126.54519237918804,111483.0,494.0268934264322,111077.73333333334,705.8299538908248,99.63596052475177,0.3115217504861153,1.0003110220823386,2.8319494087487647e-05,0.9966695260297478,0.0031268466426784,0.0,0.0,457.2591979440057,11.75788887657126,827.3333333333334,19.518001458970662,111448.33333333331,492.9467758384508,5241.333333333333,49.54170921941383,2.596003727418269,0.1888643552853842,9.022355314290118,0.6685767060645329,1811.52734375,,656.5625766259384,13.467915776498998,200.0
50,50.0,gcn,0,199.9333333333333,150.66636114591864,2189.0,63.09743033028932,3954.866666666667,124.09550853312636,5904.866666666667,141.29142460413746,109180.86666666668,548.439196612489,108248.26666666666,645.3507868556744,99.14591548589205,0.3474872758351158,1.0001062855560674,2.5930049364622057e-05,0.9915645492535762,0.0034803679558625,0.0,0.0,380.8343446758329,8.12353766396875,747.3333333333334,66.61903060008632,109169.26666666666,549.037790355177,9704.533333333333,210.7801382167368,0.5149800836626646,0.0181759498116607,4.504043571422309,0.1865415335177226,2802.572265625,,1504.9865807188914,55.90403315631744,200.0
50,50.0,leach,0,1790.5333333333333,37.2958570404402,2109.6666666666665,24.455985731416312,2636.0,153.59454975449393,15624.8,560.3852246446189,106219.4,526.4325760654037,105720.73333333334,730.8276586628797,99.52993052968397,0.3211997654607184,1.0002912959073649,4.07755396285089e-05,0.9955892507862548,0.0032194406263481,0.0,0.0,138.2506608481263,4.461875486767197,623.3333333333334,12.798809468443688,106188.46666666666,526.0377317627465,101145.0,312.4918284645902,0.4446243482235819,0.037986132985168,4.062935807143471,0.2006877271899436,2059.9296875,,89.38018879237293,5.148180359271782,200.0
50,50.0,nsga2,0,2184.4666666666667,11.005626266769626,2233.8,14.467698010197951,2899.333333333333,337.1825844228839,5263.533333333334,332.45147157499684,112910.66666666669,423.40383739854025,112521.86666666668,712.4727430041163,99.65497783382612,0.3400774601921099,1.000326017142263,2.302253743815896e-05,0.9968746953576088,0.0034096730280653,0.0,0.0,442.6394800884442,26.13208547083259,580.6666666666666,12.344267996967352,112873.86666666668,422.9216183149016,5330.2,246.0523173171569,95.7110256573195,9.875504034812478,276.66098502856664,37.424317477986975,2428.6806640625,,18841.530891313567,2309.247632199704,200.0
50,50.0,pegasis,0,2097.333333333333,78.10950798779389,2231.266666666667,1.944467120049187,3466.9333333333334,141.90664268488362,3455.733333333333,131.50907989655352,113601.93333333332,196.21579471397837,113127.8,563.2099583129343,99.58284817917324,0.5106398969823248,1.0002218790876407,3.797408912030293e-05,0.996049519641152,0.0051249682391332,0.0,0.0,427.0496874369811,16.489778405595043,821.6666666666666,8.295150620062532,113576.73333333334,196.31187529274015,110188.53333333334,140.01166618059605,0.0156250814913532,0.0006993210281783,2.7124225428519173,0.1382514902778439,2414.8046875,,4.519945496158783,0.3569537701652442,200.0
50,50.0,som,0,1382.0666666666666,96.3983303550331,2184.0666666666666,50.29124699000338,3156.9333333333334,93.09401290144946,5663.533333333334,217.53681680733183,112579.13333333332,494.15004468953214,112044.53333333334,723.4631856234157,99.52449574411204,0.2955694838694008,1.0002469877554343,2.779796501176621e-05,0.9954907526543074,0.0029500986350483,0.0,0.0,408.930913392461,14.134955221628768,567.3333333333334,27.945525240230875,112551.33333333331,493.7189291007394,5813.466666666666,118.76198686368262,18.13457802181177,2.0627183933444844,59.38032554999726,7.349060838197095,2167.494140625,,1374.2922598782638,38.83926190298627,200.0
50,50.0,stub,0,2178.0666666666666,405.2953890447711,3230.0666666666666,122.85326128973465,4326.266666666666,64.2144472692496,163438.4,4034.6587534936407,163557.93333333332,4046.027619188739,163438.4,4034.6587534936407,99.9271459041552,0.1405175186885569,1.0003059691144156,7.51669216976756e-06,0.9995772059947738,0.0014061919961931,0.0,0.0,454.97109988327287,4.444948929542186,935.6666666666666,5.163977794943222,163507.93333333332,4046.027619188739,0.0,0.0,0.002780898499941,0.0002566461402771,2.0634517714206595,0.0654254971305163,8171.8828125,,0.0,0.0,200.0
50,50.0,teen,15,6808.5,55.86143571373726,,,6999.0,0.0,17103.466666666667,222.788133393483,42280.73333333333,703.4825073128956,42236.93333333333,764.0384682412142,99.8946372867668,0.360255978032323,0.1544557151545314,0.0021795465296116,0.1206855726804914,0.0021722244264711,0.142068652019641,0.0063559347745682,355.33350714471413,4.054292614937355,1014.0,0.0,349974.4666666667,69.01642316627735,357870.4666666667,887.4200862747076,0.5230253152584904,0.0267668757998331,9.973334307142068,0.5092163290134439,5006.875,,116.3680476190476,0.0618587610352203,200.0
100,50.0,apteen,15,5684.4,140.3133228579117,6490.6,46.12684374944501,6999.0,0.0,28022.266666666663,170.34690095997246,86363.46666666666,704.5585108691082,86125.13333333333,712.4941971359352,99.72419550662268,0.2297277806479678,0.1679173857101683,0.00140249538446,0.1325592950098658,0.0013165887946714,0.0091242244957748,0.0021480699012476,437.50988630858734,2.0509285853479917,994.0,21.38089935299395,649722.4,2035.177240438778,706714.8666666667,2296.963084057689,0.981466740822985,0.0190485454178148,20.78845838572514,0.4153851620660214,5503.359375,,421.1314952380953,2.0983313896052094,400.0
100,50.0,dqn,0,1627.5333333333333,70.738822102018,2213.4666666666667,25.31195840102536,3047.4,101.31055508400183,11503.866666666669,94.37074809091054,224644.13333333333,362.22918291101416,223428.2,660.2554916740293,99.45865646062056,0.2128010890420233,1.0002475608598218,2.2773010416516957e-05,0.9948327879366792,0.0021299879638969,0.0,0.0,402.54532929743226,2.681390400932746,860.6666666666666,17.99470821684875,224588.53333333333,361.65983754798935,14432.933333333332,162.57985583647664,0.4801496331358633,0.0114227348527442,5.908294807154952,0.1002472282574197,2312.166015625,,7161.894599888986,284.81402270262845,400.0
100,50.0,fuzzy_t2,0,1685.4,44.7242344021353,2364.6,23.57298696147169,2626.0,50.66979940189789,11685.733333333334,129.1286549291424,227619.13333333333,606.2082229100901,226620.13333333333,871.9294587020105,99.56102283817322,0.2411050460735777,1.000310833492586,1.6902054842096855e-05,0.9959197156655571,0.0024199160566323,0.0,0.0,401.5884338418768,3.77494087076794,990.0666666666656,38.8117557056138,227548.4,604.5309634040971,11564.333333333334,112.98082433168324,4.5615876369883335,0.126322950724018,16.020401535722026,0.2721017776781503,2042.3056640625,,2171.102901469196,47.40371498481024,400.0
