round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.97677562514804,0.9997677562514804,0.9997677562514804,35,5,35,35,110,0.023224374852007266,414.0,1.175300043541938,475
1,100,3,99.95775076842651,0.9995775076842651,0.9995775076842651,29,3,28,28,106,0.019024856721559544,680.6666666666666,0.5203000036999583,291
2,100,5,99.93978141612949,0.9993978141612949,0.9993978141612949,23,4,20,20,110,0.01796935229704697,504.0,1.0925999958999455,475
3,100,6,99.9198834840258,0.9991988348402581,0.9991988348402581,26,6,20,20,112,0.01989793210372648,347.3333333333333,0.6049000076018274,564
4,100,8,99.89936771684697,0.9989936771684697,0.9989936771684697,23,6,20,20,116,0.020515767178888353,300.6666666666667,0.48010004684329033,736
5,100,6,99.8781954022705,0.9987819540227051,0.9987819540227051,28,5,24,24,112,0.021172314576481027,394.0,0.7095999899320304,564
6,100,5,99.86009084916428,0.9986009084916428,0.9986009084916428,23,5,18,18,110,0.018104553106272542,414.0,0.49210002180188894,475
7,100,10,99.83817574607254,0.9983817574607253,0.9983817574607253,23,8,17,17,120,0.021915103091783794,221.5,1.3300999999046326,900
8,100,7,99.81785483241968,0.9981785483241968,0.9981785483241968,25,7,20,20,114,0.02032091365290764,299.7142857142857,1.599299954250455,651
9,100,2,99.80465885195079,0.9980465885195079,0.9980465885195079,17,2,15,15,104,0.01319598046891532,1014.0,1.0277999681420624,196
10,100,2,99.78974466712084,0.9978974466712084,0.9978974466712084,21,2,20,20,104,0.014914184829955407,1014.0,0.8907000301405787,196
11,100,6,99.7701950871998,0.997701950871998,0.997701950871998,25,6,19,19,112,0.019549579921078142,347.3333333333333,0.9503000183030963,564
12,100,0,99.76473327417177,0.9976473327417178,0.9976473327417178,18,18,18,18,0,0.005461813028031309,17.0,0.12260000221431255,0
13,100,4,99.7477388346926,0.997477388346926,0.997477388346926,22,4,18,18,108,0.01699443947921006,514.0,0.8583999588154256,384
14,100,4,99.73038535946534,0.9973038535946535,0.9973038535946535,23,4,20,20,108,0.017353475227283588,514.0,0.9494000114500523,384
15,100,5,99.71302147813196,0.9971302147813197,0.9971302147813197,21,4,17,17,110,0.017363881333397113,464.0,0.9576999582350254,475
16,100,4,99.69712077437943,0.9969712077437943,0.9969712077437943,19,4,16,16,108,0.015900703752580903,514.0,0.957600015681237,384
17,100,6,99.67874461368173,0.9967874461368172,0.9967874461368172,22,6,17,17,112,0.018376160697744115,347.3333333333333,0.984199985396117,564
18,100,7,99.66214527896581,0.9966214527896581,0.9966214527896581,16,5,13,13,114,0.016599334715978964,366.0,1.0427999659441411,651
19,100,5,99.64567731546133,0.9964567731546132,0.9964567731546132,19,4,15,15,110,0.016467963504524896,484.0,0.945800042245537,475
20,100,3,99.63104300510086,0.9963104300510086,0.9963104300510086,19,3,16,16,106,0.014634310360472746,680.6666666666666,1.0732999653555453,291
21,100,6,99.61225040008381,0.9961225040008381,0.9961225040008381,23,6,17,17,112,0.018792605017107278,347.3333333333333,0.9873999515548348,564
22,100,6,99.59452789049092,0.9959452789049092,0.9959452789049092,20,4,16,16,112,0.01772250959292304,404.0,0.9984999778680503,564
23,100,2,99.57964808728543,0.9957964808728543,0.9957964808728543,21,2,19,19,104,0.014879803205543773,1014.0,1.0797000140883029,196
24,100,5,99.56195566366446,0.9956195566366446,0.9956195566366446,22,5,18,18,110,0.017692423620994102,414.0,1.0198000236414373,475
25,100,5,99.5452127972939,0.995452127972939,0.995452127972939,20,5,15,15,110,0.016742866370607234,414.0,0.8133999654091895,475
26,100,5,99.52882282047798,0.9952882282047798,0.9952882282047798,19,5,14,14,110,0.016389976815957885,414.0,1.115199993364513,475
27,100,4,99.51381855289621,0.9951381855289622,0.9951381855289622,18,4,17,17,108,0.015004267581823216,514.0,1.04750000173226,384
28,100,5,99.4967845579321,0.994967845579321,0.994967845579321,21,5,16,16,110,0.017033994964143373,414.0,1.077399996574968,475
29,100,4,99.48334346143295,0.9948334346143295,0.9948334346143295,14,4,10,10,108,0.013441096499196115,514.0,1.3223999994806945,384
30,100,6,99.46781506000855,0.9946781506000855,0.9946781506000855,15,5,12,12,112,0.015528401424434346,370.0,1.4276000438258052,564
31,100,3,99.45481037222343,0.9945481037222343,0.9945481037222343,14,2,13,13,106,0.013004687785164615,964.0,0.9744000271894038,291
32,100,9,99.43695125202396,0.9943695125202396,0.9943695125202396,15,6,12,12,118,0.017859120199528844,257.3333333333333,0.8828999707475305,819
33,100,4,99.42303554932246,0.9942303554932246,0.9942303554932246,15,4,11,11,108,0.013915702701544963,514.0,0.5812000017613173,384
34,100,4,99.40749555342221,0.9940749555342221,0.9940749555342221,18,3,15,15,108,0.015539995900287651,660.6666666666666,1.104600029066205,384
35,100,6,99.39098913264114,0.9939098913264114,0.9939098913264114,17,5,13,13,112,0.01650642078111242,370.0,1.025900011882186,564
36,100,2,99.37763432078751,0.9937763432078751,0.9937763432078751,16,2,14,14,104,0.013354811853644843,1014.0,1.0147999855689704,196
37,100,6,99.36054454088749,0.9936054454088749,0.9936054454088749,19,5,15,15,112,0.017089779900078095,366.0,0.8512999629601836,564
38,100,9,99.33950250585491,0.993395025058549,0.993395025058549,23,8,16,16,118,0.021042035032627027,256.5,0.8368000271730125,819
39,100,6,99.32172925883582,0.9932172925883581,0.9932172925883581,21,6,16,16,112,0.017773247019147842,347.3333333333333,1.0793000110425055,564
40,100,6,99.30662864986618,0.9930662864986618,0.9930662864986618,14,5,10,10,112,0.015100608969677798,374.0,1.353600004222244,564
41,100,9,99.28736332672558,0.9928736332672559,0.9928736332672559,18,7,14,14,118,0.01926532314067053,265.42857142857144,1.026499958243221,819
42,100,7,99.27082309175593,0.9927082309175593,0.9927082309175593,16,6,11,11,114,0.01654023496969559,317.3333333333333,1.5240000211633742,651
43,100,4,99.25889971947645,0.9925889971947645,0.9925889971947645,10,2,8,8,108,0.011923372279518007,874.0,1.8841000273823738,384
44,100,2,99.24520449776658,0.9924520449776658,0.9924520449776658,18,2,16,16,104,0.013695221709898564,1014.0,1.2294999905861914,196
45,100,5,99.22971849328025,0.9922971849328025,0.9922971849328025,17,5,12,12,110,0.015486004486378824,414.0,1.2015000102110207,475
46,100,6,99.21374801259101,0.9921374801259101,0.9921374801259101,16,4,12,12,112,0.015970480689271538,464.0,1.021200034301728,564
47,100,5,99.19793206173001,0.9919793206173001,0.9919793206173001,18,5,13,13,110,0.015815950861050143,414.0,1.055800006724894,475
48,100,4,99.1840731463574,0.9918407314635741,0.9918407314635741,15,4,11,11,108,0.013858915372620073,514.0,1.1956999660469592,384
49,100,4,99.15963474722268,0.9915963474722268,0.9915963474722268,40,4,39,39,108,0.02443839913480572,514.0,1.0067999828606844,384
50,100,6,99.14453204181505,0.9914453204181506,0.9914453204181506,14,5,9,9,112,0.015102705407648465,358.0,0.7393999840132892,564
51,100,6,99.12845835633131,0.9912845835633131,0.9912845835633131,16,5,13,13,112,0.016073685483822042,382.0,1.5047000488266349,564
52,100,4,99.11392228707787,0.9911392228707787,0.9911392228707787,17,4,13,13,108,0.014536069253455186,514.0,0.9322999976575375,384
53,100,5,99.09700044471677,0.9909700044471677,0.9909700044471677,20,5,15,15,110,0.01692184236112637,414.0,1.2099999585188925,475
54,100,3,99.0803906147417,0.990803906147417,0.990803906147417,23,3,20,20,106,0.01660982997511451,680.6666666666666,0.6169999833218753,291
55,100,4,99.06503768500619,0.9906503768500619,0.9906503768500619,19,4,15,15,108,0.015352929735553023,514.0,0.8139999699778855,384
56,100,8,99.04644097428144,0.9904644097428144,0.9904644097428144,19,6,14,14,116,0.01859671072479374,310.6666666666667,0.9242999949492514,736
57,100,4,99.03207109049181,0.9903207109049181,0.9903207109049181,16,3,14,14,108,0.014369883789671412,594.0,0.9321999968960881,384
58,100,4,99.0194768495104,0.990194768495104,0.990194768495104,12,3,9,9,108,0.012594240981449567,614.0,0.8231000392697752,384
59,100,4,99.00677581010652,0.9900677581010652,0.9900677581010652,12,4,9,9,108,0.012701039403923087,514.0,0.9412000072188675,384
60,100,4,98.9910208017918,0.9899102080179181,0.9899102080179181,19,3,16,16,108,0.015755008314770058,667.3333333333334,1.1030000168830156,384
61,100,9,98.97239681125245,0.9897239681125245,0.9897239681125245,17,6,12,12,118,0.01862399053939834,284.0,1.0438000317662954,819
62,100,4,98.95804437392503,0.9895804437392504,0.9895804437392504,16,4,12,12,108,0.01435243732746061,514.0,1.1142999865114689,384
63,100,7,98.94266292160556,0.9894266292160556,0.9894266292160556,13,5,8,8,114,0.015381452319521927,322.0,1.1845999979414046,651
64,100,3,98.93061829361932,0.9893061829361932,0.9893061829361932,13,3,11,11,106,0.012044627986274481,680.6666666666666,0.6375000230036676,291
65,100,0,98.9259407529852,0.989259407529852,0.989259407529852,15,15,15,15,0,0.004677540634116184,17.0,0.146100006531924,0
66,100,8,98.90693166894137,0.9890693166894137,0.9890693166894137,20,7,13,13,116,0.019009084043890123,282.57142857142856,0.9727999567985535,736
67,100,6,98.89027296713695,0.9889027296713695,0.9889027296713695,17,4,14,14,112,0.016658701804406872,359.0,1.0633000056259334,564
68,100,1,98.87888155309592,0.9887888155309592,0.9887888155309592,13,1,12,12,102,0.011391414041032055,2014.0,1.006099977530539,99
69,100,7,98.85887540005406,0.9885887540005406,0.9885887540005406,24,6,19,19,114,0.02000615304185427,337.3333333333333,1.0296999826095998,651
70,100,6,98.84136752970376,0.9884136752970376,0.9884136752970376,20,5,15,15,112,0.017507870350312427,366.0,0.8298000320792198,564
71,100,6,98.82208042683793,0.9882208042683793,0.9882208042683793,24,5,21,21,112,0.019287102865838124,386.0,1.022700045723468,564
72,100,5,98.80499320094209,0.9880499320094209,0.9880499320094209,21,5,17,17,110,0.017087225895825675,414.0,1.082699978724122,475
73,100,6,98.78774495855929,0.9878774495855929,0.9878774495855929,19,5,14,14,112,0.017248242382804868,354.0,0.9496999555267394,564
74,100,5,98.77106581001185,0.9877106581001185,0.9877106581001185,20,5,16,16,110,0.016679148547430467,414.0,1.0027000098489225,475
75,100,8,98.7520388095179,0.987520388095179,0.987520388095179,19,4,15,15,116,0.019027000493948565,374.0,0.9266000124625862,736
76,100,3,98.7403198484759,0.9874031984847591,0.9874031984847591,12,3,10,10,106,0.011718961042001874,680.6666666666666,0.9500000160187483,291
77,100,6,98.72046522563087,0.9872046522563087,0.9872046522563087,25,6,21,21,112,0.01985462284502293,347.3333333333333,0.9783999994397163,564
78,100,3,98.70756382645031,0.9870756382645031,0.9870756382645031,15,3,12,12,106,0.012901399180557549,680.6666666666666,0.9609999833628535,291
79,100,3,98.69504869035654,0.9869504869035655,0.9869504869035655,14,3,11,11,106,0.012515136093805168,680.6666666666666,0.8352000149898231,291
80,100,5,98.67738130359162,0.9867738130359162,0.9867738130359162,21,4,17,17,110,0.01766738676490265,504.0,0.9599999757483602,475
81,100,6,98.66147327707496,0.9866147327707496,0.9866147327707496,16,4,12,12,112,0.01590802651666845,424.0,0.9119000169448555,564
82,100,3,98.64504868122796,0.9864504868122796,0.9864504868122796,23,3,20,20,106,0.01642459584698397,680.6666666666666,0.8585000177845359,291
83,100,4,98.62918118399334,0.9862918118399334,0.9862918118399334,20,4,17,17,108,0.015867497234621775,514.0,1.0557000059634447,384
84,100,8,98.61094083426809,0.9861094083426809,0.9861094083426809,18,6,14,14,116,0.018240349725251237,304.0,1.0164999985136092,736
85,100,7,98.59429370020891,0.9859429370020891,0.9859429370020891,16,5,12,12,114,0.016647134059190494,366.0,1.0732000228017569,651
86,100,9,98.57324891995164,0.9857324891995164,0.9857324891995164,23,7,17,17,118,0.02104478025727219,268.2857142857143,1.0093000018969178,819
87,100,3,98.5614266745914,0.985614266745914,0.985614266745914,12,3,9,9,106,0.011822245360248562,680.6666666666666,1.0387999936938286,291
88,100,2,98.5498835509005,0.9854988355090051,0.9854988355090051,13,2,11,11,104,0.011543123690882728,1014.0,1.0260000126436353,196
89,100,6,98.53306723589944,0.9853306723589944,0.9853306723589944,18,5,13,13,112,0.016816315001046744,390.0,1.2618000037036836,564
90,100,5,98.52002965112553,0.9852002965112553,0.9852002965112553,11,3,9,9,110,0.013037584773920807,554.0,1.0659000254236162,475
91,100,6,98.50403080194852,0.9850403080194852,0.9850403080194852,17,6,12,12,112,0.015998849177007335,347.3333333333333,0.4726999904960394,564
92,100,5,98.48929454486958,0.9848929454486958,0.9848929454486958,15,4,11,11,110,0.014736257078947768,429.0,0.742000003810972,475
93,100,1,98.47996309616069,0.9847996309616068,0.9847996309616068,10,1,9,9,102,0.009331448708926438,2014.0,0.9517999715171754,99
94,100,6,98.46446289603111,0.9846446289603111,0.9846446289603111,15,4,11,11,112,0.015500200129562325,404.0,0.971200002823025,564
95,100,5,98.4503304635373,0.9845033046353729,0.9845033046353729,14,5,9,9,110,0.014132432493777936,414.0,1.0249000042676926,475
96,100,4,98.43649514089357,0.9843649514089357,0.9843649514089357,15,4,11,11,108,0.013835322643724446,514.0,0.9893000242300332,384
97,100,7,98.42275604705985,0.9842275604705985,0.9842275604705985,9,4,5,5,114,0.013739093833747829,289.0,0.9761000401340425,651
98,100,2,98.41265420296692,0.9841265420296692,0.9841265420296692,10,2,9,9,104,0.010101844092905266,1014.0,0.9680999792180955,196
99,100,6,98.39325762595332,0.9839325762595332,0.9839325762595332,25,6,19,19,112,0.019396577013614635,347.3333333333333,1.2774000060744584,564
100,100,8,98.37709822139516,0.9837709822139515,0.9837709822139515,13,6,9,9,116,0.01615940455816145,304.0,0.9367000311613083,736
101,100,4,98.36253828869414,0.9836253828869413,0.9836253828869413,17,4,13,13,108,0.014559932700993539,514.0,1.2863000156357884,384
102,100,6,98.34712082666452,0.9834712082666452,0.9834712082666452,15,5,10,10,112,0.015417462029642337,382.0,0.8548000478185713,564
103,100,4,98.33445442368146,0.9833445442368146,0.9833445442368146,12,3,10,10,108,0.012666402983056324,494.0,1.0678000398911536,384
104,100,9,98.31594930397164,0.9831594930397164,0.9831594930397164,17,7,13,13,118,0.018505119709831597,274.0,2.6336999726481736,819
105,100,4,98.30088178486514,0.9830088178486514,0.9830088178486514,18,4,16,16,108,0.015067519106484184,514.0,0.5204000044614077,384
106,100,7,98.28587738167404,0.9828587738167404,0.9828587738167404,12,4,9,9,114,0.015004403191107407,414.0,0.8660000166855752,651
107,100,4,98.27098289852097,0.9827098289852096,0.9827098289852096,17,3,14,14,108,0.014894483153079063,540.6666666666666,0.8824999677017331,384
108,100,9,98.250094276264,0.9825009427626399,0.9825009427626399,22,8,14,14,118,0.020888622256955314,254.0,0.9831000352278352,819
109,100,4,98.23755528244234,0.9823755528244235,0.9823755528244235,12,4,9,9,108,0.012538993821647804,514.0,0.8527000318281353,384
110,100,3,98.2232398544151,0.982232398544151,0.982232398544151,18,3,16,16,106,0.014315428027253052,680.6666666666666,1.0670999763533473,291
111,100,7,98.20620553224181,0.9820620553224181,0.9820620553224181,17,6,11,11,114,0.017034322173303584,327.3333333333333,1.0567999561317265,651
112,100,6,98.19223286469774,0.9819223286469775,0.9819223286469775,11,4,8,8,112,0.013972667544068562,449.0,0.6005999748595059,564
113,100,4,98.17800975109597,0.9817800975109597,0.9817800975109597,16,4,13,13,108,0.014223113601748771,514.0,0.832199992146343,384
114,100,2,98.16810969679108,0.9816810969679107,0.9816810969679107,9,2,8,8,104,0.009900054304891048,1014.0,1.9730000058189034,196
115,100,3,98.15755004848403,0.9815755004848402,0.9815755004848402,9,2,8,8,106,0.010559648307064684,784.0,0.7653999491594732,291
116,100,2,98.14408352435015,0.9814408352435016,0.9814408352435016,17,2,15,15,104,0.01346652413386451,1014.0,0.9429000201635063,196
117,100,4,98.13010790522289,0.9813010790522289,0.9813010790522289,15,3,12,12,108,0.013975619127266192,614.0,1.0179000091739,384
118,100,2,98.11877524193633,0.9811877524193633,0.9811877524193633,13,2,11,11,104,0.011332663286551359,1014.0,0.9018999990075827,196
119,100,8,98.09993045014598,0.9809993045014598,0.9809993045014598,19,6,14,14,116,0.018844791790364024,254.0,0.7518000202253461,736
120,100,3,98.0859256163527,0.980859256163527,0.980859256163527,17,3,14,14,106,0.014004833793277882,680.6666666666666,0.9138999739661813,291
121,100,4,98.07119427667585,0.9807119427667585,0.9807119427667585,17,4,13,13,108,0.014731339676832267,514.0,1.1289000394754112,384
122,100,6,98.05723923977837,0.9805723923977837,0.9805723923977837,11,3,9,9,112,0.01395503689749944,507.3333333333333,1.0640000109560788,564
123,100,4,98.04395537980386,0.9804395537980386,0.9804395537980386,13,3,10,10,108,0.013283859974509094,634.0,1.0671000345610082,384
124,100,5,98.02685345906038,0.9802685345906038,0.9802685345906038,21,5,17,17,110,0.01710192074350192,414.0,0.8868000004440546,475
125,100,4,98.0109158163542,0.9801091581635419,0.9801091581635419,20,4,16,16,108,0.01593764270616771,514.0,0.997199967969209,384
126,100,4,97.99694194818181,0.9799694194818181,0.9799694194818181,15,4,12,12,108,0.013973868172364456,514.0,1.2088000075891614,384
127,100,3,97.98306596822073,0.9798306596822073,0.9798306596822073,17,3,14,14,106,0.013875979961103457,680.6666666666666,0.9783999994397163,291
128,100,8,97.96370072062197,0.9796370072062197,0.9796370072062197,21,7,15,15,116,0.019365247598731372,294.0,1.074700034223497,736
129,100,3,97.9515461683061,0.9795154616830609,0.9795154616830609,13,3,10,10,106,0.012154552315883915,680.6666666666666,1.1502999695949256,291
130,100,7,97.93559297431781,0.9793559297431781,0.9793559297431781,14,5,9,9,114,0.015953193988289538,294.0,1.1054000351577997,651
131,100,15,97.91503405915248,0.9791503405915247,0.9791503405915247,11,6,7,7,130,0.020558915165346026,157.33333333333334,0.9324999991804361,1275
132,100,2,97.90464249699433,0.9790464249699433,0.9790464249699433,10,2,8,8,104,0.01039156215815007,1014.0,0.8774999878369272,196
133,100,2,97.89367259626259,0.9789367259626259,0.9789367259626259,12,2,10,10,104,0.01096990073179649,1014.0,1.0649000178091228,196
134,100,1,97.88457799741809,0.9788457799741809,0.9788457799741809,9,1,8,8,102,0.009094598844550994,2014.0,1.0297999833710492,99
135,100,8,97.8669908909748,0.978669908909748,0.978669908909748,16,5,12,12,116,0.01758710644337924,338.0,0.8674999698996544,736
136,100,8,97.84867398115648,0.9784867398115648,0.9784867398115648,18,6,12,12,116,0.01831690981844636,300.6666666666667,1.0411000112071633,736
137,100,2,97.83800835817848,0.9783800835817849,0.9783800835817849,11,2,9,9,104,0.010665622978065059,1014.0,0.47889997949823737,196
138,100,3,97.82491855340757,0.9782491855340757,0.9782491855340757,15,3,12,12,106,0.013089804770967106,680.6666666666666,0.7514000171795487,291
139,100,8,97.80721872965968,0.9780721872965968,0.9780721872965968,17,7,11,11,116,0.01769982374800927,271.14285714285717,0.7020000484772027,736
140,100,7,97.78740333999674,0.9778740333999675,0.9778740333999675,24,6,19,19,114,0.0198153896630191,337.3333333333333,1.0590000310912728,651
141,100,9,97.76844622776885,0.9776844622776885,0.9776844622776885,18,7,13,13,118,0.018957112228036976,268.2857142857143,1.4205000479705632,819
142,100,2,97.75598155190357,0.9775598155190357,0.9775598155190357,15,2,13,13,104,0.012464675865318853,1014.0,1.062900002580136,196
143,100,5,97.74248497576178,0.9774248497576178,0.9774248497576178,12,4,8,8,110,0.013496576141863503,454.0,0.990399974398315,475
144,100,2,97.73013514872554,0.9773013514872554,0.9773013514872554,15,2,13,13,104,0.012349827036324701,1014.0,1.0130000300705433,196
145,100,3,97.71710431219329,0.9771710431219328,0.9771710431219328,15,3,12,12,106,0.013030836532309298,680.6666666666666,1.3416999718174338,291
146,100,5,97.70167118690311,0.9770167118690312,0.9770167118690312,17,5,13,13,110,0.015433125290242877,414.0,1.3102999655529857,475
147,100,5,97.68706863650439,0.9768706863650439,0.9768706863650439,15,4,11,11,110,0.014602550398815861,494.0,1.2144999927841127,475
148,100,2,97.67539794507843,0.9767539794507843,0.9767539794507843,14,2,12,12,104,0.011670691426043156,1014.0,0.5705999792553484,196
149,100,3,97.66011558094573,0.9766011558094573,0.9766011558094573,20,3,17,17,106,0.015282364132745752,680.6666666666666,0.48480002442374825,291
150,100,8,97.64257184002724,0.9764257184002725,0.9764257184002725,16,6,10,10,116,0.017543740918589013,284.0,0.44460000935941935,736
151,100,4,97.6282582174675,0.976282582174675,0.976282582174675,16,3,13,13,108,0.014313622559816608,607.3333333333334,0.8799000061117113,384
152,100,6,97.61058655973707,0.9761058655973707,0.9761058655973707,20,5,15,15,112,0.017671657730525148,398.0,0.8391999872401357,564
153,100,7,97.59519666587805,0.9759519666587805,0.9759519666587805,13,5,9,9,114,0.01538989385911238,326.0,0.8850999874994159,651
154,100,4,97.58026422753602,0.9758026422753602,0.9758026422753602,18,4,14,14,108,0.01493243834210789,514.0,1.0341000161133707,384
155,100,6,97.56379011544458,0.9756379011544457,0.9756379011544457,17,6,13,13,112,0.01647411209154903,347.3333333333333,0.9887000196613371,564
156,100,7,97.54635111419196,0.9754635111419196,0.9754635111419196,18,6,12,12,114,0.01743900125272857,334.0,1.0058999760076404,651
157,100,4,97.5324267095132,0.975324267095132,0.975324267095132,15,3,12,12,108,0.013924404678813396,640.6666666666666,0.9893000242300332,384
158,100,6,97.51676351001721,0.9751676351001721,0.9751676351001721,15,5,11,11,112,0.015663199496064983,378.0,1.7248999793082476,564
159,100,5,97.5037812756377,0.975037812756377,0.975037812756377,11,4,8,8,110,0.012982234379621094,429.0,1.0205000289715827,475
160,100,2,97.48911761184372,0.9748911761184372,0.9748911761184372,19,2,18,18,104,0.014663663794028725,1014.0,1.2871000217273831,196
