protocol,channel,total_J,retry_J,retry_pct,ctrl_pct,data_tx_pct,data_rx_pct,agg_pct,n_head_slots,mean_ch_bs_m,p90_ch_bs_m,p99_ch_bs_m,pct_heads_beyond_120m,pct_heads_beyond_d0,head_gini,max_head_share
leach,lossy,68.02187614115267,4.34471161012264,6.38722695784941,12.726850962699496,47.440711081786645,30.408158629815713,3.037052367848727,5495,102.12631723444254,143.45167963414045,155.3508272346757,29.936305732484076,63.967242948134675,0.0008935395814375635,0.010009099181073703
leach,ideal,63.67850671073157,0.0,0.0,13.618418586085532,50.58928480194426,32.53845146542436,3.25384514654584,5500,102.1693412830772,143.4604477049095,155.33981796241528,30.0,64.0,0.0,0.01
pegasis,lossy,50.417306135679915,0.6999231507064994,1.3882597154693466,4.381825497995578,46.71051750755505,43.19945207180038,4.319945207179654,1100,102.16934128307722,143.46044770490948,155.33981796241522,30.0,64.0,0.0,0.01
pegasis,ideal,49.71738298497342,0.0,0.0,4.443512998911105,47.36810989520949,43.80761555079982,4.380761555079592,1100,102.16934128307722,143.46044770490948,155.33981796241522,30.0,64.0,0.0,0.01
nsga2,lossy,54.46218684093772,1.9423544731793614,3.566427618582784,2.4613471514384755,51.75963456203094,38.37524934688817,3.8373413210596192,5500,94.23601926086333,127.45516617701469,150.86735865842724,17.727272727272727,54.45454545454545,0.20703636363636369,0.017272727272727273
nsga2,ideal,52.47560918498645,0.0,0.0,2.5522357989741637,53.63693407052869,39.82802739135722,3.9828027391399208,5500,94.53905267600241,128.83619724376456,148.2260796875108,19.18181818181818,55.09090909090909,0.18970909090909083,0.016363636363636365
fuzzy_t2,lossy,58.09377070943907,2.120198719584663,3.649614569157539,2.3298299041478776,54.46171863362992,35.97631853595989,3.5825183571047674,5500,85.62479724855899,122.09751628222685,145.71971070747693,11.454545454545455,36.36363636363637,0.4155818181818183,0.06545454545454546
fuzzy_t2,ideal,56.221928734970135,0.0,0.0,2.4057087235397003,56.70277346967586,37.1741070970732,3.717410709711229,5500,87.67733579192087,126.36894079964719,147.0385305726658,15.181818181818182,40.0,0.376490909090909,0.07090909090909091
som,lossy,55.78835042032373,2.94743497219235,5.283244530418303,2.3807174354944953,51.40684212273377,37.20848500373682,3.7207109076166263,5494,102.7791137059759,136.419012845333,150.92056171657336,31.106661812886788,69.60320349472151,0.3930433199854386,0.031852930469603205
som,ideal,52.894859681292225,0.0,0.0,2.517529381356164,54.186369998074575,39.36051161789493,3.935589002674335,5498,102.53694041708438,136.419012845333,148.3050520413469,31.520552928337576,69.17060749363405,0.42508548563113857,0.03182975627500909
dqn,lossy,56.437419087734995,1.303809404031397,2.310186087717008,3.9527877091717856,53.010535921465646,37.032168263201044,3.6943220184445162,5500,81.07377353441501,111.18803642736368,127.30171828070853,5.127272727272728,29.94545454545455,0.4761672727272728,0.040545454545454544
dqn,ideal,55.20307142784725,0.0,0.0,4.0416770445409265,54.31208950262144,37.860212229848756,3.7860212229888712,5500,81.29227375460046,112.32920396531438,128.83619724376456,5.545454545454546,30.472727272727273,0.47299272727272723,0.04236363636363636
gcn,lossy,55.4121358754747,1.244495915226645,2.2458905356461027,3.8469240059220358,54.622183955763106,35.73272691939672,3.552274583272055,5216,77.07868986584923,104.5951356147303,127.30171828070853,3.2016871165644174,21.913343558282207,0.6997200920245399,0.1437883435582822
gcn,ideal,54.12919222206713,0.0,0.0,3.892841814852979,56.316981658725375,36.18117627857613,3.6090002478455214,5194,85.66858896186119,124.82394632922185,155.557801553171,12.187139006546015,35.714285714285715,0.6607855217558722,0.07162110127069696
