protocol,node,rounds_as_head
fuzzy_t2,52,30
fuzzy_t2,53,55
fuzzy_t2,54,25
fuzzy_t2,55,50
fuzzy_t2,56,105
fuzzy_t2,57,15
fuzzy_t2,58,70
fuzzy_t2,59,0
fuzzy_t2,60,25
fuzzy_t2,61,35
fuzzy_t2,62,45
fuzzy_t2,63,135
fuzzy_t2,64,55
fuzzy_t2,65,20
fuzzy_t2,66,25
fuzzy_t2,67,105
fuzzy_t2,68,55
fuzzy_t2,69,55
fuzzy_t2,70,25
fuzzy_t2,71,270
fuzzy_t2,72,30
fuzzy_t2,73,25
fuzzy_t2,74,50
fuzzy_t2,75,35
fuzzy_t2,76,40
fuzzy_t2,77,240
fuzzy_t2,78,105
fuzzy_t2,79,40
fuzzy_t2,80,75
fuzzy_t2,81,35
fuzzy_t2,82,20
fuzzy_t2,83,50
fuzzy_t2,84,45
fuzzy_t2,85,35
fuzzy_t2,86,30
fuzzy_t2,87,85
fuzzy_t2,88,50
fuzzy_t2,89,35
fuzzy_t2,90,45
fuzzy_t2,91,55
fuzzy_t2,92,55
fuzzy_t2,93,15
fuzzy_t2,94,360
fuzzy_t2,95,60
fuzzy_t2,96,0
fuzzy_t2,97,105
fuzzy_t2,98,165
fuzzy_t2,99,35
som,0,25
som,1,155
som,2,35
som,3,0
som,4,80
som,5,5
som,6,0
som,7,85
som,8,20
som,9,45
som,10,115
som,11,0
som,12,65
som,13,0
som,14,50
som,15,85
som,16,85
som,17,40
som,18,35
som,19,25
som,20,0
som,21,35
som,22,55
som,23,75
som,24,70
som,25,115
som,26,20
som,27,10
som,28,76
som,29,110
som,30,120
som,31,40
som,32,65
som,33,170
som,34,50
som,35,65
som,36,55
som,37,15
som,38,45
som,39,55
som,40,0
som,41,85
som,42,30
som,43,115
som,44,45
som,45,80
som,46,60
som,47,40
som,48,20
som,49,80
som,50,30
som,51,100
som,52,55
som,53,90
som,54,85
som,55,130
som,56,0
som,57,70
som,58,35
som,59,10
som,60,55
som,61,35
som,62,65
som,63,10
som,64,70
som,65,75
som,66,80
som,67,45
som,68,0
som,69,85
som,70,55
som,71,40
som,72,65
som,73,30
som,74,5
som,75,25
som,76,35
som,77,15
som,78,45
som,79,70
som,80,105
som,81,50
som,82,35
som,83,70
som,84,40
som,85,148
som,86,45
som,87,55
som,88,120
som,89,175
som,90,50
som,91,0
som,92,50
som,93,40
som,94,20
som,95,0
som,96,25
som,97,40
som,98,60
som,99,105
dqn,0,35
dqn,1,20
dqn,2,57
dqn,3,99
dqn,4,20
dqn,5,35
dqn,6,37
dqn,7,131
dqn,8,0
dqn,9,76
dqn,10,52
dqn,11,0
dqn,12,93
dqn,13,0
dqn,14,84
dqn,15,40
dqn,16,131
dqn,17,0
dqn,18,68
dqn,19,0
dqn,20,20
dqn,21,30
dqn,22,136
dqn,23,37
dqn,24,23
dqn,25,23
dqn,26,123
dqn,27,17
dqn,28,0
dqn,29,24
dqn,30,50
dqn,31,39
dqn,32,60
dqn,33,47
dqn,34,32
dqn,35,37
dqn,36,66
dqn,37,52
dqn,38,138
dqn,39,27
dqn,40,37
dqn,41,44
dqn,42,78
dqn,43,0
dqn,44,32
dqn,45,126
dqn,46,0
dqn,47,76
dqn,48,27
dqn,49,120
dqn,50,0
dqn,51,35
dqn,52,0
dqn,53,40
dqn,54,21
dqn,55,48
dqn,56,136
dqn,57,0
dqn,58,65
dqn,59,0
dqn,60,34
dqn,61,37
dqn,62,35
dqn,63,139
dqn,64,63
dqn,65,22
dqn,66,20
dqn,67,119
dqn,68,79
dqn,69,34
dqn,70,28
dqn,71,212
dqn,72,31
dqn,73,0
dqn,74,93
dqn,75,72
dqn,76,63
dqn,77,168
dqn,78,134
dqn,79,50
dqn,80,129
dqn,81,25
dqn,82,0
dqn,83,74
dqn,84,52
dqn,85,1
dqn,86,32
dqn,87,116
dqn,88,40
dqn,89,45
dqn,90,14
dqn,91,37
dqn,92,33
dqn,93,0
dqn,94,223
dqn,95,46
dqn,96,0
dqn,97,145
dqn,98,161
dqn,99,50
gcn,0,4
gcn,1,2
gcn,2,41
gcn,3,750
gcn,4,3
gcn,5,38
gcn,6,13
gcn,7,134
gcn,8,1
gcn,9,75
gcn,10,65
gcn,11,0
gcn,12,49
gcn,13,1
gcn,14,43
gcn,15,43
gcn,16,12
gcn,17,7
gcn,18,262
gcn,19,10
gcn,20,1
gcn,21,13
gcn,22,59
gcn,23,19
gcn,24,10
gcn,25,1
gcn,26,12
gcn,27,1
gcn,28,2
gcn,29,15
gcn,30,1
gcn,31,12
gcn,32,134
gcn,33,18
gcn,34,3
gcn,35,4
gcn,36,23
gcn,37,50
gcn,38,46
gcn,39,1
gcn,40,23
gcn,41,41
gcn,42,145
gcn,43,0
gcn,44,2
gcn,45,31
gcn,46,1
gcn,47,41
gcn,48,0
gcn,49,106
gcn,50,1
gcn,51,0
gcn,52,1
gcn,53,106
gcn,54,41
gcn,55,91
gcn,56,178
gcn,57,8
gcn,58,155
gcn,59,0
gcn,60,1
gcn,61,19
gcn,62,16
gcn,63,313
gcn,64,0
gcn,65,7
gcn,66,4
gcn,67,17
gcn,68,296
gcn,69,76
gcn,70,10
gcn,71,171
gcn,72,1
gcn,73,0
gcn,74,47
gcn,75,110
gcn,76,18
gcn,77,153
gcn,78,0
gcn,79,87
gcn,80,39
gcn,81,30
gcn,82,12
gcn,83,46
gcn,84,80
gcn,85,5
gcn,86,5
gcn,87,8
gcn,88,93
gcn,89,23
gcn,90,0
gcn,91,53
gcn,92,105
gcn,93,0
gcn,94,134
gcn,95,0
gcn,96,0
gcn,97,106
gcn,98,182
gcn,99,0
