round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,50,2,49.97510467651003,0.9995020935302006,0.9995020935302006,50,2,50,50,3,0.024895323489980015,514.0,535.853999957908,120280
1,50,2,49.95070935302005,0.999014187060401,0.999014187060401,50,2,50,50,2,0.024395323489980015,514.0,0.04780001472681761,0
2,50,2,49.92631402953007,0.9985262805906013,0.9985262805906013,50,2,50,50,2,0.024395323489979963,514.0,0.04079996142536402,0
3,50,2,49.9019187060401,0.998038374120802,0.998038374120802,50,2,50,50,2,0.024395323489979956,514.0,0.0399000127799809,0
4,50,2,49.87752338255012,0.9975504676510024,0.9975504676510024,50,2,50,50,2,0.024395323489979984,514.0,0.03800005652010441,0
5,50,2,49.852604485218194,0.9970520897043639,0.9970520897043639,50,2,50,50,3,0.024918897331926065,514.0,528.1488000182435,120280
6,50,2,49.828185587886274,0.9965637117577255,0.9965637117577255,50,2,50,50,2,0.02441889733192623,514.0,0.0420999713242054,0
7,50,2,49.803766690554355,0.996075333811087,0.996075333811087,50,2,50,50,2,0.024418897331926342,514.0,0.042700034100562334,0
8,50,2,49.779347793222435,0.9955869558644487,0.9955869558644487,50,2,50,50,2,0.024418897331926398,514.0,0.03659998765215278,0
9,50,2,49.7549288958905,0.99509857791781,0.99509857791781,50,2,50,50,2,0.024418897331926342,514.0,0.036999990697950125,0
10,50,2,49.72986643806839,0.9945973287613679,0.9945973287613679,50,2,50,50,3,0.025062457822114526,514.0,542.191400018055,120280
11,50,2,49.70530398024629,0.9941060796049258,0.9941060796049258,50,2,50,50,2,0.024562457822114636,514.0,0.03619998460635543,0
12,50,2,49.68074152242417,0.9936148304484834,0.9936148304484834,50,2,50,50,2,0.02456245782211447,514.0,0.03400002606213093,0
13,50,2,49.656179064602064,0.9931235812920413,0.9931235812920413,50,2,50,50,2,0.02456245782211458,514.0,0.036299985367804766,0
14,50,2,49.63161660677996,0.9926323321355991,0.9926323321355991,50,2,50,50,2,0.02456245782211458,514.0,0.034299970138818026,0
15,50,2,49.60667548912518,0.9921335097825036,0.9921335097825036,50,2,50,50,3,0.024941117654784906,514.0,524.2441999725997,120280
16,50,2,49.58223437147039,0.9916446874294078,0.9916446874294078,50,2,50,50,2,0.02444111765478496,514.0,0.04060001811012626,0
17,50,2,49.55779325381561,0.9911558650763123,0.9911558650763123,50,2,50,50,2,0.024441117654784905,514.0,0.04160002572461963,0
18,50,2,49.53335213616083,0.9906670427232166,0.9906670427232166,50,2,50,50,2,0.02444111765478485,514.0,0.037699996028095484,0
19,50,2,49.50891101850605,0.9901782203701209,0.9901782203701209,50,2,50,50,2,0.024441117654784905,514.0,0.03789999755099416,0
20,50,2,49.4838827290786,0.989677654581572,0.989677654581572,50,2,50,50,3,0.025028289427451667,514.0,541.6638000169769,120280
21,50,2,49.45935443965116,0.9891870887930232,0.9891870887930232,50,2,50,50,2,0.024528289427451888,514.0,0.023200002033263445,0
22,50,2,49.43482615022371,0.9886965230044741,0.9886965230044741,50,2,50,50,2,0.024528289427451777,514.0,0.021000043489038944,0
23,50,2,49.410297860796256,0.9882059572159251,0.9882059572159251,50,2,50,50,2,0.024528289427451666,514.0,0.020499981474131346,0
24,50,2,49.38576957136881,0.9877153914273762,0.9877153914273762,50,2,50,50,2,0.024528289427451888,514.0,0.0198000343516469,0
25,50,2,49.360858417727535,0.9872171683545506,0.9872171683545506,50,2,50,50,3,0.024911153641285932,514.0,548.3434000052512,120280
26,50,2,49.33644726408625,0.9867289452817251,0.9867289452817251,50,2,50,50,2,0.02441115364128499,514.0,0.03880000440403819,0
27,50,2,49.31203611044497,0.9862407222088995,0.9862407222088995,50,2,50,50,2,0.024411153641284877,514.0,0.03819999983534217,0
28,50,2,49.28762495680368,0.9857524991360737,0.9857524991360737,50,2,50,50,2,0.024411153641284766,514.0,0.03739999374374747,0
29,50,2,49.263213803162394,0.9852642760632478,0.9852642760632478,50,2,50,50,2,0.024411153641284877,514.0,0.036299985367804766,0
30,50,2,49.23840967934188,0.9847681935868375,0.9847681935868375,50,2,50,50,3,0.024804123820528545,514.0,530.4554000031203,120280
31,50,2,49.214105555521364,0.9842821111104273,0.9842821111104273,50,2,50,50,2,0.0243041238205286,514.0,0.037299992982298136,0
32,50,2,49.18980143170083,0.9837960286340166,0.9837960286340166,50,2,50,50,2,0.0243041238205286,514.0,0.03339996328577399,0
33,50,2,49.165497307880294,0.9833099461576059,0.9833099461576059,50,2,50,50,2,0.0243041238205286,514.0,0.03459997242316604,0
34,50,2,49.14119318405977,0.9828238636811955,0.9828238636811955,50,2,50,50,2,0.02430412382052849,514.0,0.033299962524324656,0
35,50,2,49.11435729088527,0.9822871458177055,0.9822871458177055,50,1,50,25,3,0.026835893174512293,514.0,528.0082999961451,120280
36,50,2,49.08802139771075,0.9817604279542149,0.9817604279542149,50,2,50,50,2,0.026335893174512237,514.0,0.036100042052567005,0
37,50,2,49.063112554947374,0.9812622510989475,0.9812622510989475,50,2,50,50,2,0.024908842763379013,514.0,0.03539997851476073,0
38,50,2,49.03749018697844,0.9807498037395688,0.9807498037395688,50,2,50,50,2,0.025622367968945903,514.0,0.032800016924738884,0
39,50,2,49.01186781900949,0.9802373563801897,0.9802373563801897,50,2,50,50,2,0.025622367968945903,514.0,0.03359996480867267,0
40,50,2,48.98650528540066,0.9797301057080132,0.9797301057080132,50,2,50,50,3,0.025362533608827675,514.0,537.1676000067964,120280
41,50,2,48.96164275179184,0.9792328550358369,0.9792328550358369,50,2,50,50,2,0.02486253360882751,514.0,0.023300002794712782,0
42,50,2,48.936780218183024,0.9787356043636605,0.9787356043636605,50,2,50,50,2,0.02486253360882751,514.0,0.021299987565726042,0
43,50,2,48.9119176845742,0.9782383536914839,0.9782383536914839,50,2,50,50,2,0.02486253360882773,514.0,0.019900035113096237,0
44,50,2,48.88705515096537,0.9777411030193073,0.9777411030193073,50,2,50,50,2,0.024862533608827952,514.0,0.03130000550299883,0
45,50,2,48.86173771322385,0.977234754264477,0.977234754264477,50,2,50,50,3,0.025317437741514848,514.0,519.2964999587275,120280
46,50,2,48.83692027548234,0.9767384055096469,0.9767384055096469,50,2,50,50,2,0.024817437741515347,514.0,0.03840000135824084,0
47,50,2,48.81210283774083,0.9762420567548166,0.9762420567548166,50,2,50,50,2,0.024817437741515347,514.0,0.03479997394606471,0
48,50,2,48.78728539999932,0.9757457079999864,0.9757457079999864,50,2,50,50,2,0.024817437741514903,514.0,0.032800016924738884,0
49,50,2,48.762467962257794,0.9752493592451559,0.9752493592451559,50,2,50,50,2,0.024817437741515125,514.0,0.035699980799108744,0
50,50,2,48.734634479064184,0.9746926895812836,0.9746926895812836,50,2,50,50,3,0.02783348319362622,514.0,527.1383000072092,120280
51,50,2,48.709560263833126,0.9741912052766625,0.9741912052766625,50,2,50,50,2,0.02507421523106368,514.0,0.03549997927621007,0
52,50,2,48.684486048602054,0.9736897209720411,0.9736897209720411,50,2,50,50,2,0.025074215231064567,514.0,0.03339996328577399,0
53,50,2,48.659411833370996,0.9731882366674199,0.9731882366674199,50,2,50,50,2,0.025074215231064345,514.0,0.033100019209086895,0
54,50,2,48.63433761813994,0.9726867523627988,0.9726867523627988,50,2,50,50,2,0.025074215231064567,514.0,0.035299977753311396,0
